	Portfolio Val	SP500	Rolling_mean_PV	Rolling_std_PV	upper_band_PV	lower_band_PV	BB
262	12967.608334823395	2161.74	12991.357904724755	18.447255062413355	13028.252414849581	12954.463394599929	-0.6437155506607053
263	13019.596303758022	2166.89	12993.236733090824	21.129695026418283	13035.496123143661	12950.977343037986	0.6237565339736664
264	13052.418790668864	2163.78	13004.584533020115	34.05341626980765	13072.691365559731	12936.4777004805	0.7023415399758166
265	13001.304909366823	2173.02	13009.424913850915	30.72830847252106	13070.881530795958	12947.968296905872	-0.13212579682596223
266	12994.62874448718	2165.17	13007.111416620883	31.458928191010635	13070.029273002903	12944.193560238862	-0.19839633534097967
267	13046.383445333104	2175.03	13022.866438722824	25.977643331458562	13074.82172538574	12970.911152059907	0.45263933895422515
268	13004.454592558079	2168.48	13019.838096482834	27.30292944501763	13074.44395537287	12965.232237592798	-0.2817189260905919
269	13003.356055809114	2169.18	13010.025549510883	20.679249659125414	13051.384048829133	12968.667050192633	-0.16126053439337515
270	13297.479995607337	2166.58	13069.260566758987	129.15165324151118	13327.563873242008	12810.957260275965	0.8835327427887572
271	13427.328517469408	2170.06	13155.800521355432	194.8829955785466	13545.566512512525	12766.034530198338	0.6966436330370824
272	13507.058829847449	2173.6	13247.935598258298	234.9912065602732	13717.918011378844	12777.953185137752	0.5513466554389714
273	13665.495397503953	2170.84	13380.143759247474	249.2797952558741	13878.703349759222	12881.584168735726	0.5723521193596522
274	13545.50551288913	2157.03	13488.573650663477	137.06932063187787	13762.712291927233	13214.43500939972	0.20767543737432695
275	13555.103260347783	2163.79	13540.098303611565	86.29520451462271	13712.688712640811	13367.507894582319	0.08693969045334297
276	13582.595127519882	2164.25	13571.151625621662	59.27659872438211	13689.704823070426	13452.598428172898	0.09652630333455112
277	13596.222727484736	2182.87	13588.98440514912	47.3959232831026	13683.776251715326	13494.192558582914	0.07636017862105979
278	13589.292608361566	2180.89	13573.743847320642	22.193941734787707	13618.131730790217	13529.355963851067	0.35029291386648687
279	13592.768435317956	2181.74	13583.196431806407	16.492868524084688	13616.182168854577	13550.210694758238	0.29018613401210835
280	13590.632021953377	2175.49	13590.302184127528	5.041378447366288	13600.384941022261	13580.219427232794	0.03271305946312384
281	13548.976145033177	2185.79	13583.578387630183	19.51959000326349	13622.61756763671	13544.539207623657	-0.8863465521361035
282	13551.551368245171	2184.05	13574.64411578227	22.30920297011688	13619.262521722503	13530.025709842037	-0.5175610165910395
283	13543.114755194116	2190.15	13565.40854514878	24.206639421167917	13613.821823991117	13516.995266306445	-0.4604891568544176
284	13449.625849283992	2178.15	13536.78002794199	52.20860717498436	13641.197242291959	13432.36281359202	-0.8346725125790945
285	13516.98437900742	2182.22	13522.050499352797	42.749239899797296	13607.548979152392	13436.552019553203	-0.05925392307855182
286	13544.898106581748	2187.02	13521.234891662514	42.14168580308036	13605.518263268676	13436.951520056353	0.28075781104020353
287	13487.463376980308	2183.87	13508.41729340954	40.32263339604737	13589.062560201635	13427.772026617446	-0.2598282238094944
288	13484.802199776577	2182.64	13496.754782326034	35.97689197631254	13568.70856627866	13424.800998373408	-0.16611471826591132
289	13512.633670817504	2186.9	13509.356346632738	24.568031465040814	13558.49240956282	13460.220283702656	0.06669895773761401
290	13336.403381533435	2175.44	13473.240147137942	80.22935031714944	13633.69884777224	13312.781446503643	-0.852784953783036
291	13352.551683874628	2172.47	13434.770862596517	83.33427769651225	13601.43941798954	13268.102307203493	-0.4933094819716068
292	13370.199051533762	2169.04	13411.317997507209	81.27305928802646	13573.864116083261	13248.771878931157	-0.2529678735712656
293	13441.759923126943	2180.38	13402.709542177283	73.44640222735894	13549.602346632	13255.816737722565	0.26584270818859823
294	13355.323301731485	2176.12	13371.247468360078	41.20172108795507	13453.650910535987	13288.844026184168	-0.19324637670594516
295	13359.504795443809	2170.95	13375.86775114215	37.441194552072226	13450.750140246295	13300.985362038005	-0.21851540654751678
296	13442.345362206144	2170.86	13393.826486808455	44.35770802307733	13482.54190285461	13305.111070762301	0.546904670688202
297	13519.530050758829	2179.98	13423.692686653467	68.28910211466555	13560.270890882797	13287.114482424136	0.7017032084009528
298	13690.659980307022	2186.48	13473.472698089483	138.93205985714113	13751.336817803765	13195.6085783752	0.7816312607790639
299	13639.77653760527	2186.16	13530.363345264243	136.67793121306516	13803.719207690372	13257.007482838113	0.4002591763350046
300	13513.620598455134	2181.3	13561.186505866508	101.31728245856269	13763.821070783633	13358.551940949383	-0.23473738269099093
301	13133.805576884837	2127.81	13499.478548802246	218.26168245058412	13936.001913703414	13062.955183901078	-0.8376939273346797
302	13329.662159353438	2159.04	13461.504970521168	230.09684279776235	13921.698656116692	13001.311284925643	-0.2864941768966584
303	13228.038082217989	2127.02	13368.98059090336	206.74210599662123	13782.464802896602	12955.496378910118	-0.34086551456449576
304	13303.56564394683	2125.77	13301.738412171671	140.81043205305124	13583.359276277773	13020.11754806557	0.006488268477400794
305	13504.035249428467	2147.26	13299.82134236634	137.22416406788284	13574.269670502106	13025.373014230574	0.7440887268262215
306	13534.627221255074	2139.16	13379.985671240385	133.00644069905005	13645.998552638486	13113.972789842284	0.5813310588642535
307	13543.831244841609	2139.12	13422.81948833802	146.5452914409451	13715.91007121991	13129.72890545613	0.4128817627427978
308	13564.46460220564	2139.76	13490.10479233555	106.52355516075649	13703.151902657064	13277.057682014038	0.3490298918294263
309	13841.02910151014	2163.12	13597.597483848213	137.81028123953476	13873.218046327282	13321.976921369143	0.8832128324257841
310	13927.6040406945	2177.18	13682.311242101418	187.23983692468005	14056.790915950778	13307.831568252057	0.6550229978350026
311	13774.721950719808	2164.69	13730.330187994365	169.87870625611177	14070.087600506587	13390.572775482142	0.13065723098490484
312	13679.571029830457	2146.1	13757.478144992134	141.0183302372968	14039.514805466728	13475.44148451754	-0.27623045539746505
313	13708.398660331535	2159.93	13786.264956617315	100.69240704927888	13987.649770715872	13584.880142518758	-0.38665426007579684
314	13800.555540240306	2171.37	13778.17024436335	96.73847571103559	13971.647195785421	13584.693292941278	0.11570006511071698
315	13682.887823248177	2151.13	13729.227000874085	55.23677579959665	13839.700552473278	13618.753449274893	-0.4194594720194278
316	13728.24507246823	2168.27	13719.931625223771	49.25332293983575	13818.438271103443	13621.4249793441	0.08439478545044742
317	13633.715358371579	2161.2	13710.760490931996	61.41514017507398	13833.590771282144	13587.930210581848	-0.6272486909643724
318	13466.843701100985	2150.49	13662.449499085884	125.40667867261088	13913.262856431105	13411.636141740662	-0.7798858882769376
319	13544.718360431963	2159.73	13611.282063124212	105.59847313491866	13822.47900939405	13400.085116854374	-0.3151736039175634
320	13519.342467762483	2160.77	13578.572992027073	103.17489734166381	13784.9227867104	13372.223197343747	-0.2870394145799281
321	13502.716616306292	2153.74	13533.467300794688	62.76957649209082	13659.00645377887	13407.928147810506	-0.24494895622141288
322	13536.749465759858	2163.66	13514.07412227234	30.986697246155174	13576.047516764651	13452.10072778003	0.3658883569840731
323	13413.01081453307	2136.73	13503.30754495876	53.01930114785388	13609.346147254468	13397.268942663051	-0.8515458377495424
324	13516.157400447062	2139.18	13497.59535296178	48.81419526553703	13595.223743492854	13399.966962430706	0.190129606606329
325	13528.605868934617	2132.55	13499.448033196208	50.007138530863934	13599.462310257935	13399.43375613448	0.2915367345045517
326	13508.656451396726	2132.98	13500.636000214296	50.17447214024356	13600.984944494783	13400.287055933808	0.07992561595877183
327	13413.020736891993	2126.5	13475.890254440723	57.8368457863854	13591.563946013493	13360.216562867952	-0.543507488123854
328	13471.763821326273	2139.6	13487.640855799362	46.77933103352617	13581.199517866415	13394.082193732309	-0.16970138437540236
329	13485.32361034518	2144.29	13481.474097778986	44.03196291677153	13569.53802361253	13393.410171945443	0.043712706761110824
330	13401.459036570692	2141.34	13456.044731306203	46.644929534382776	13549.334590374969	13362.754872237438	-0.5851192753466953
331	13431.69339200445	2141.16	13440.652119427748	36.54904218227141	13513.750203792291	13367.554035063205	-0.12255762242168501
332	13555.412958733006	2151.33	13469.13056379595	58.5123446522667	13586.155253100484	13352.105874491417	0.7373007819958672
333	13597.457160210432	2143.16	13494.269231572782	82.15198737852849	13658.573206329838	13329.965256815725	0.6280306291447021
334	13359.54850844031	2139.43	13469.114211191807	102.34936488726969	13673.812940966347	13264.415481417267	-0.5352534569812707
335	13240.483373720383	2133.04	13436.919078621746	145.2702433011911	13727.459565224128	13146.378592019364	-0.6761044121544221
336	12983.592821821203	2126.41	13347.298964585096	249.86613288897863	13847.031230363053	12847.566698807139	-0.7278020005326131
337	13123.513804424829	2126.15	13260.91913372346	234.09043386524365	13729.100001453948	12792.738265992974	-0.29348770692981524
338	13015.860052454767	2111.72	13144.599712172329	156.79476697213593	13458.1892461166	12831.010178228056	-0.4105355752735024
339	12891.325010627654	2097.94	13050.955012609797	134.57046150999645	13320.09593562979	12781.814089589803	-0.5931093651272232
340	12992.326113169867	2088.66	13001.323560499695	83.12156674942946	13167.566693998555	12835.080427000836	-0.054122219308924115
341	12957.239892935006	2085.18	12996.052974722455	85.33298704957265	13166.7189488216	12825.38700062331	-0.2274213239769873
342	13227.25951488139	2131.52	13016.802116813767	126.67324237130661	13270.14860155638	12763.455632071154	0.8307097620929571
343	13250.474823609144	2139.56	13063.725071044642	164.14754763513528	13392.020166314913	12735.429975774372	0.5688472208540264
344	13227.116195538472	2163.26	13130.883308026805	143.35393641033974	13417.591180847485	12844.175435206125	0.33564787239677873
345	12881.83467711636	2167.48	13108.785020816105	175.0620298357561	13458.909080487618	12758.660961144593	-0.6481997949888716
346	12716.55582229344	2164.45	13060.64820668779	245.90593281677604	13552.460072321343	12568.836341054239	-0.6996422990955926
347	12480.245521632254	2164.2	12911.245408037965	331.42905679707087	13574.103521632107	12248.387294443823	-0.6502143936486617
348	12722.79357767896	2180.39	12805.709158851929	275.7394038186912	13357.187966489311	12254.230351214546	-0.15035134627963595
349	12802.487270230797	2176.94	12720.783373790391	150.41062165691415	13021.60461710422	12419.962130476562	0.27160281481573717
350	12842.000629491544	2187.12	12712.81656426543	140.4743490246214	12993.765262314671	12431.867866216187	0.45981371731956516
351	12935.290766581365	2181.9	12756.563553123015	172.36876486951314	13101.30108286204	12411.826023383988	0.518444317894983
352	13141.932625465657	2198.18	12888.900973889695	160.80707938865368	13210.515132667002	12567.286815112388	0.7867553236397373
353	13161.970220435991	2202.94	12976.7363024411	167.20914205782455	13311.15458655675	12642.318018325452	0.5538988948667426
354	13053.927114017952	2204.72	13027.024271198532	136.73595531881827	13300.496181836168	12753.552360560896	0.09837515946954874
355	13101.516847930025	2213.35	13078.927514886229	90.3224063824701	13259.572327651169	12898.282702121289	0.12504833489566922
356	13026.137313714193	2201.72	13097.096824312792	57.308854529395816	13211.714533371583	12982.479115254	-0.6190972684875541
357	13044.914515746013	2204.66	13077.693202368864	54.697945047100234	13187.089092463064	12968.297312274664	-0.2996336205558097
358	12830.62576092127	2198.81	13011.42431046592	104.82048398145726	13221.065278428834	12801.783342503006	-0.8624199330000868
359	12706.136534646905	2191.08	12941.866194591712	166.69719237534278	13275.260579342397	12608.471809841027	-0.7070594788844072
360	12781.078936468784	2191.95	12877.778612299462	150.81440251702665	13179.407417333516	12576.149807265409	-0.3205916484659366
361	12949.82470722383	2204.71	12862.51609100139	135.08844209700166	13132.692975195392	12592.339206807386	0.3231535387747975
362	13072.549919938236	2212.23	12868.043171839832	144.6442442584225	13157.331660356676	12578.754683322988	0.7069301275930142
363	13206.150537779893	2241.35	12943.148127211556	205.183202434145	13353.514532079846	12532.781722343267	0.6408965437917595
364	13239.643664024254	2246.19	13049.849553087026	189.2153027407489	13428.280158568523	12671.418947605529	0.5015294962619167
365	13325.314189025024	2259.53	13158.696603598273	147.99868448338654	13454.693972565046	12862.6992346315	0.5629022514908055
366	13268.472972004389	2256.96	13222.426256554385	94.51254026731695	13411.451337089018	13033.401176019752	0.2436010889124683
